"Gene","gRNA","p_value"
"EGFL7","SNP-29-2",0.000306280068490871
"TMCO3","SNP-3-1",1.45378427141905e-11
"ANK1","SNP-61-1",2.57985537784015e-31
"NDUFS8","SNP-60-1",1.34424995228217e-10
"TCIRG1","SNP-60-1",0.00470278558405911
"CD52","SNP-21-2",NA
"TFRC","SNP-26-2",4.92379379152049e-08
"SLC7A5","SNP-74-1",2.86444897080567e-12
"CMC1","SNP-80-2",4.80263920417201e-06
"CTSB","SNP-45-2",3.83741022494692e-07
"GFI1B","SNP-63-2",4.28313931888188e-12
"GFI1B","SNP-76-2",0.000898633722611886
"NFE2","SNP-83-2",NA
"PTPRC","SNP-14-2",1.61381391259073e-30
"CD164","SNP-7-2",5.16733381338754e-06
"GLRX5","SNP-58-2",2.27651136901004e-17
"ANKRD12","SNP-64-2",0.0176616419092537
"PTPRC","SNP-13-1",6.64423695320897e-06
"PDLIM1","SNP-77-2",1.04239553140429e-12
"SLC25A37","SNP-33-1",0.0253502983978848
"NUDT4","SNP-62-2",1.12301974291812e-12
"CR1L","SNP-20-2",3.90537023228626e-43
"ACTN4","SNP-34-2",5.20788242606249e-10
"PTPRC","SNP-12-2",0.000277836772694349
"PIEZO1","SNP-35-1",NA
"CTU2","SNP-35-1",0.000362252369096511
"TMCO3","SNP-55-1",0.0219687245306815
"VEGFB","SNP-53-1",1.04884050159573e-05
"DHRS13","SNP-59-1",0.000200386936106026
"TLCD1","SNP-59-1",0.181176590532609
"PTPRC","SNP-18-1",NA
"PTPRC","SNP-11-1",6.39454432219039e-08
"TFRC","SNP-22-2",0.00215764234966066
"GATA2","SNP-69-2",0.000159763926654562
"ZMYND8","SNP-68-1",0.000260459015033104
"OAZ1","SNP-75-2",0.0122937667551269
"PTPRC","SNP-15-2",5.48407343366028e-05
"APOE","SNP-36-1",0.00286680278482046
"APOC1","SNP-36-1",0.0966692500205516
"MAZ","SNP-10-2",2.43369671326751e-11
"CDCA3","SNP-28-2",0.0602242539040676
"ARID1A","SNP-21-1",0.0330668291538351
"RNF166","SNP-86-2",0.205941475516622
"CDT1","SNP-86-2",0.0011861775319212
"PIEZO1","SNP-86-2",0.652549856913939
"APRT","SNP-86-2",0.812308455047144
"GALNS","SNP-86-2",0.754466296126159
"ZC3H18","SNP-86-2",0.810184016592259
"CBFA2T3","SNP-86-2",0.435532511628702
"CTU2","SNP-86-2",0.73290069545878
"MVD","SNP-86-2",0.56677769073593
"TRAPPC2L","SNP-86-2",0.334740113928012
"SNAI3","SNP-86-2",0.00886507688897096
"ZFPM1","SNP-86-2",0.104255971286278
"CYBA","SNP-86-2",0.000115918299132103
"ACTR2","SNP-39-1",0.771241046716976
"SLC1A4","SNP-39-1",0.204814259488954
"RAB1A","SNP-39-1",0.314686446218058
"SERTAD2","SNP-39-1",0.761492924933282
"CEP68","SNP-39-1",0.454125941315616
"AFTPH","SNP-39-1",0.243010097190765
"FARP2","SNP-79-1",0.515745681689799
"DTYMK","SNP-79-1",0.942521040518599
"ATG4B","SNP-79-1",0.403803234651335
"THAP4","SNP-79-1",0.49824762664327
"STK25","SNP-79-1",0.561916754576802
"D2HGDH","SNP-79-1",0.553631528872339
"ING5","SNP-79-1",0.353160477502948
"PASK","SNP-79-1",0.0753317376321152
"PPP1R7","SNP-79-1",0.38097270943829
"MTERF4","SNP-79-1",0.104495021150758
"HDLBP","SNP-79-1",0.00588641958767941
"KDELR2","SNP-85-1",5.53565470428734e-06
"CCZ1B","SNP-85-1",0.0962034073433347
"ZNF316","SNP-85-1",0.564703257296671
"PMS2","SNP-85-1",0.510945517165701
"EIF2AK1","SNP-85-1",0.0069808256720482
"ZNF12","SNP-85-1",0.919373014464926
"DAGLB","SNP-85-1",0.717316783301286
"ZDHHC4","SNP-85-1",0.088075642257842
"RAC1","SNP-85-1",0.505063426367802
"CYTH3","SNP-85-1",0.445721357007271
"USP42","SNP-85-1",0.042219915285641
"AIMP2","SNP-85-1",0.374063471927331
"AGPAT2","SNP-29-2",0.706584697798623
"ENTR1","SNP-29-2",0.00980576296842242
"AJM1","SNP-29-2",0.285111135916674
"NPDC1","SNP-29-2",0.0236766062836759
"CARD9","SNP-29-2",0.0116387144923729
"PMPCA","SNP-29-2",0.0492542462738738
"INPP5E","SNP-29-2",0.526329056554917
"SEC16A","SNP-29-2",0.0253348465438589
"QSOX2","SNP-29-2",0.745784668500927
"TRAF2","SNP-29-2",0.319781017712444
"SAPCD2","SNP-29-2",0.623535174916646
"UAP1L1","SNP-29-2",0.770274123674018
"DIPK1B","SNP-29-2",0.414339725647466
"SNAPC4","SNP-29-2",0.0905167316316983
"MAN1B1","SNP-29-2",0.419585569236515
"DPP7","SNP-29-2",0.319633031416618
"DNLZ","SNP-29-2",0.102751332382626
"PHPT1","SNP-29-2",0.364641600276994
"PAXX","SNP-29-2",0.268312344874505
"EDF1","SNP-29-2",0.326722777783455
"TMEM141","SNP-29-2",0.627673827853584
"GPSM1","SNP-29-2",0.731806677871951
"FBXW5","SNP-29-2",0.449835505660054
"RABL6","SNP-29-2",0.768833875986946
"ABCA2","SNP-29-2",0.573054566139386
"USP21","SNP-8-2",0.0803841412629763
"B4GALT3","SNP-8-2",0.156215276304034
